time,url,time spent on this reel
17:14:01,https://www.instagram.com/reels/DG35ve0zY0R/,00:00:04
17:13:56,https://www.instagram.com/reels/DHOxjJxvuDZ/,00:00:05
17:13:33,https://www.instagram.com/reels/DHkWIPAJhGa/,00:00:23
17:13:27,https://www.instagram.com/reels/DH58AomxQ1l/,00:00:06
17:13:18,https://www.instagram.com/reels/DH4S4DyTvwx/,00:00:09
17:13:14,https://www.instagram.com/reels/DHyuTdTx1-x/,00:00:04
17:13:10,https://www.instagram.com/reels/DHi-H5rgCcR/,00:00:04
17:12:53,https://www.instagram.com/reels/DHq5hOiRID-/,00:00:17
17:12:40,https://www.instagram.com/reels/DHwng8liFFS/,00:00:13
17:12:32,https://www.instagram.com/reels/DCt8-F7vdbG/,00:00:08
17:12:14,https://www.instagram.com/reels/DEnjCmEvdOL/,00:00:18
17:12:06,https://www.instagram.com/reels/DHCfRIayQKb/,00:00:08
17:12:00,https://www.instagram.com/reels/DDx_Cm4tlsr/,00:00:06
17:11:42,https://www.instagram.com/reels/DFbAj8FyW06/,00:00:18
17:11:17,https://www.instagram.com/reels/DG-5yNEJjJX/,00:00:25
17:11:11,https://www.instagram.com/reels/DCZgltAh7mI/,00:00:06
17:11:02,https://www.instagram.com/reels/DHq67Pfvpkm/,00:00:09
17:10:21,https://www.instagram.com/reels/DHl1NfMsE-a/,00:00:41
