time,url,time spent on this reel,EEG.AF3,EEG.T7,EEG.Pz,EEG.AF4,label,Label
17:10:21,https://www.instagram.com/reels/DHl1NfMsE-a/,41.0,4230.400374360137,4243.084936032012,4082.138078370999,4220.904204138339,Interested,Interested
17:11:02,https://www.instagram.com/reels/DHq67Pfvpkm/,9.0,4227.094919866319,4246.7737270095495,4082.1545533151043,4220.463636638021,Sad,Sad
17:11:11,https://www.instagram.com/reels/DCZgltAh7mI/,6.0,4211.022629764323,4223.947483395833,4063.6635287617187,4206.160853729167,Funny,Funny
17:11:17,https://www.instagram.com/reels/DG-5yNEJjJX/,25.0,4234.912460198125,4246.47840381,4086.333774274375,4225.174515859687,Funny,Funny
17:11:42,https://www.instagram.com/reels/DFbAj8FyW06/,18.0,4228.611777858073,4244.216854437066,4081.3645190230036,4220.788038915364,Funny,Funny
17:12:00,https://www.instagram.com/reels/DDx_Cm4tlsr/,6.0,4230.212338794271,4237.094354643229,4079.873134923177,4221.280376460937,Interesed,Interested
17:12:06,https://www.instagram.com/reels/DHCfRIayQKb/,8.0,4198.47017981836,4213.854923746094,4051.785978794922,4186.248875645508,Excited,Excited
17:12:14,https://www.instagram.com/reels/DEnjCmEvdOL/,18.0,4239.205233177084,4254.8012924448785,4102.262285767795,4235.277110445746,Funny,Funny
17:12:32,https://www.instagram.com/reels/DCt8-F7vdbG/,8.0,4235.698365243164,4237.236578485352,4083.8166074941405,4221.699714225586,Sad,Sad
17:12:40,https://www.instagram.com/reels/DHwng8liFFS/,13.0,4229.159425911659,4241.0439867091345,4084.6056765072112,4220.237220192909,Sad,Sad
17:12:53,https://www.instagram.com/reels/DHq5hOiRID-/,17.0,4226.430702801012,4240.42603236443,4084.178861630514,4219.2199907091,Excited,Excited
17:13:10,https://www.instagram.com/reels/DHi-H5rgCcR/,4.0,4234.512971894532,4241.68769836914,4087.2197980917963,4222.086340923828,Neutral,Neutral
17:13:14,https://www.instagram.com/reels/DHyuTdTx1-x/,4.0,4228.920769705078,4239.505963355469,4083.3651332871095,4220.349561695313,Interested,Interested
17:13:18,https://www.instagram.com/reels/DH4S4DyTvwx/,9.0,4228.315529732638,4242.000980836805,4085.4714232630204,4219.120371096355,Interested,Interested
17:13:27,https://www.instagram.com/reels/DH58AomxQ1l/,6.0,4228.297112179687,4240.893267354167,4082.661261578125,4220.680587800781,Neutral,Neutral
17:13:33,https://www.instagram.com/reels/DHkWIPAJhGa/,23.0,4230.225752651495,4240.988452769362,4085.012238307405,4220.858202424933,Interested,Interested
17:13:56,https://www.instagram.com/reels/DHOxjJxvuDZ/,5.0,4217.4857765375,4237.280041548438,4083.2435802328123,4216.300878935937,Neutral,Neutral
17:14:01,https://www.instagram.com/reels/DG35ve0zY0R/,4.0,4234.165675189453,4244.802182232423,4088.3055324667966,4227.298687939454,Excited,Excited
17:14:05,https://www.instagram.com/reels/DHillETR1_I/,15.0,4229.998735581771,4238.93329293125,4081.4709546442705,4218.565435566667,interested,Interested
17:14:20,https://www.instagram.com/reels/DBgsECwt6sO/,6.0,4230.046077100261,4242.6425660794275,4093.068913154948,4222.014055923177,Neutral,Neutral
17:14:26,https://www.instagram.com/reels/DHGotw-gwlS/,12.0,4227.729706153646,4240.616568261718,4081.9828405416665,4221.193166753255,Neutral,Neutral
17:14:38,https://www.instagram.com/reels/DHCIxaxRA60/,16.0,4225.50042357666,4236.840632229004,4082.393581404297,4217.597090258789,Interested,Interested
17:14:54,https://www.instagram.com/reels/DEyHd46Iqbh/,8.0,4234.175419353516,4248.458031186524,4090.973807116211,4225.767978691407,Excited,Excited
17:15:02,https://www.instagram.com/reels/DHwy15jsMKk/,78.0,4227.5498982722365,4240.424742813105,4085.484124320874,4219.698469486601,Interested,Interested
17:42:24,https://www.instagram.com/reels/DHt_HJThagQ/,55.0,4238.600849628835,4243.162549822585,4085.3579746312503,4225.932360828978,Interested,Interested
17:43:19,https://www.instagram.com/reels/DH3ihPKJNPo/,4.0,4220.124702458985,4231.631108291015,4074.7874083535153,4218.604264283203,Interested,Interested
